"";"accuracy";"average-precision";"clp";"coverage";"f1";"hamming-loss";"macro-auc";"macro-f1";"macro-precision";"macro-recall";"margin-loss";"micro-auc";"micro-f1";"micro-precision";"micro-recall";"mlp";"one-error";"precision";"ranking-loss";"recall";"subset-accuracy";"wlp"
"global";0,47387112;0,71033449;0;2,30887952;0,55454246;0,23367294;0,69370169;0,55526885;0,63221644;0,54064938;1,70821742;0,71259757;0,60122742;0,6413227;0,56855573;0,03333334;0,39773124;0,61832254;0,2666109;0,56152293;0,23996248;0,03333334
"local";0,4558753;0,68916532;0;2,53189248;0,54446715;0,25702744;0,68839484;0,56328762;0,59273953;0,55794807;1,93769168;0,69516117;0,57749274;0,59073363;0,56666412;0;0,40638356;0,59302727;0,30237042;0,56306584;0,195601;0
"hpml.jma";0,486693621363584;0,703403653642929;0;2,36838882900952;0,568718785733358;0,234091713326152;0,712118178334448;0,593111514863628;0,657427034875614;0,579766900912412;1,76672995023082;0,723193544230274;0,611064495589141;0,632236766648434;0,594019804684942;0;0,403903011831617;0,616587454733797;0,27442893536304;0,585576999702375;0,241174788858454;0
"hpml.jmi";0,491541736239078;0,708994226746056;0;2,33758354001924;0,575503544334296;0,23580205165981;0,709880020068502;0,594020090887082;0,649453211247234;0,58597935260474;1,73436083954286;0,721448603553278;0,61305363363155;0,627453767765326;0,601081054246192;0;0,393840073098688;0,616899617861273;0,268689454391996;0,598586348864135;0,241222896297353;0
"hpml.js";0,479067118099145;0,706045488191605;0;2,31223568762965;0,560290574128732;0,237243071411606;0,7013058192971;0,5666499648497;0,648838588616215;0,566389913215248;1,72925620185278;0,716108399046169;0,604706054107369;0,628391646616678;0,585886249051387;0,0166666666666667;0,412596058620646;0,611186570875993;0,267207031290928;0,577196802037786;0,239789088223691;0,0166666666666667
"hpml.kma";0,486693621363584;0,703403653642929;0;2,36838882900952;0,568718785733358;0,234091713326152;0,712118178334448;0,593111514863628;0,657427034875614;0,579766900912412;1,76672995023082;0,723193544230274;0,611064495589141;0,632236766648434;0,594019804684942;0;0,403903011831617;0,616587454733797;0,27442893536304;0,585576999702375;0,241174788858454;0
"hpml.kmi";0,477387577233874;0,699918975965006;0;2,40169646242643;0,559810370562213;0,239871854580016;0,702711337067505;0,569518887653804;0,623476266546188;0,570343814276348;1,80916246404466;0,715649441035744;0,603398064103336;0,621598454159891;0,589473911389049;0;0,411340683690425;0,604382416207545;0,282062482101776;0,583605843255516;0,234553252733326;0,0166666666666667
"hpml.ks";0,476721416028665;0,700490649092937;0;2,4838512340102;0,562345929216211;0,237393885523709;0,702912603933984;0,572132090310828;0,625984740717749;0,567280490956316;1,86014266328244;0,718028169651125;0,606609866925654;0,628890966300936;0,588580607445286;0;0,385066246363527;0,616416334092558;0,290017542928821;0,582533018901882;0,222972021247806;0,0166666666666667
"exhaustive.ma";0,48092063860051;0,70732858776987;0;2,40857848157109;0,56833937913908;0,2440033262309;0,70096133118189;0,58395016972416;0,61285661442275;0,57996957131181;1,81422509327266;0,71196329286237;0,60313484129392;0,61075054826576;0,59668185387222;0;0,40415543798995;0,60786363351483;0,27517070448839;0,59484178888004;0,22700792456248;0
"exhaustive.mi";0,47393808322934;0,70261685922621;0;2,45298611294001;0,55536937232946;0,2401638504122;0,69818923504826;0,57729192063845;0,61752980405462;0,56966255429297;1,87019069844206;0,71105367385325;0,60226998182232;0,62033848063835;0,5875907904807;0,01666666666667;0,40436273713124;0,59871484138502;0,28321109880547;0,57449755312893;0,23104258053108;0,01666666666667
"oracle.ma";0,517858806092398;0,723393741995558;0;2,50214169025598;0,600896269221621;0,224516040174304;0,719215671024586;0,609466248448534;0,656673549309763;0,603579457011475;1,87046087330915;0,734141205233025;0,634286702915507;0,644666866797647;0,62644683391243;0;0,35523793205008;0,644652867278501;0,283362530665619;0,62237338121525;0,268558724442127;0
"oracle.mi";0,517858806092398;0,723393741995558;0;2,50214169025598;0,600896269221621;0,224516040174304;0,719215671024586;0,609466248448534;0,656673549309763;0,603579457011475;1,87046087330915;0,734141205233025;0,634286702915507;0,644666866797647;0,62644683391243;0;0,35523793205008;0,644652867278501;0,283362530665619;0,62237338121525;0,268558724442127;0
"r1.ma";0,480489232845129;0,700485493391685;0;2,4734920003739;0,567381407687032;0,239164837006153;0,705509719681889;0,585917473548643;0,635301929768334;0,573111501048163;1,86878232513431;0,716496890266644;0,603824148256441;0,622660778417229;0,58834529095997;0;0,387898837863755;0,617844009216422;0,284951745690251;0,584811796982096;0,222763010638603;0
"r1.mi";0,47254922152651;0,704294758939066;0;2,38517847462404;0,555965906568644;0,242928277866368;0,700084255313919;0,574356581892736;0,631545944800949;0,563399863356649;1,78440201953159;0,71253303954517;0,596856865429805;0,616828141086623;0,581112181375943;0;0,399613608661718;0,60149049101231;0,273911140144128;0,57610117634448;0,225083327559939;0
"r1.s";0,449936598096395;0,688843175363257;0;2,49090334419697;0,533771115483417;0,25272930070967;0,687395455012142;0,559953933328169;0,626212542514336;0,538668063341696;1,89997340968757;0,697172551977333;0,575389765481492;0,603464784022533;0,551378921516536;0;0,412609733473474;0,590502702105549;0,294550845822728;0,546458047466246;0,206068338493222;0
"r2.ma";0,465220517845324;0,697554289906353;0;2,40621364148724;0,551095586002709;0,244995571277083;0,692883954957862;0,571210404547146;0,618945461902635;0,560539885094839;1,79648327078953;0,706613616660104;0,594895029624594;0,612582901259355;0,579221609760601;0;0,409739953041899;0,601260129813568;0,280809243162466;0,566425651261388;0,213550878264429;0
"r2.mi";0,461874783203988;0,698139176233026;0;2,38199525299797;0,54764101970883;0,245195444243058;0,688769577246791;0,557548448009991;0,611410643298005;0,546774151630963;1,7854982069346;0,704834511887298;0,590753377685245;0,614966465531414;0,569433989124356;0;0,414550465399602;0,604297878334491;0,278645361690878;0,559099979330009;0,213343243455607;0,0166666666666667
"r2.s";0,465703937984904;0,696800496717606;0;2,40511804365101;0,549737118818183;0,246605083983387;0,692132609593666;0,563544996394602;0,614795520697976;0,552265114247829;1,81050190562153;0,704355670426372;0,587828235859141;0,612027608282159;0,568628853892616;0;0,412973733529063;0,609193267389914;0,28119638671018;0,562836401272028;0,224283704548655;0
"r3";0,463422142628811;0,684105389276771;0;2,4594849998745;0,553170542037139;0,260244382414589;0,696524819211952;0,58241267634513;0,583356537934817;0,594438648941358;1,9003261862583;0,703158289295227;0,590556185365475;0,57971606000841;0,602980555170922;0;0,453211995688815;0,576067675905687;0,28928911662977;0,599712541517495;0,193724059638433;0
